Geneid,SRR085474,SRR085473,SRR085726,SRR085471,SRR087416,SRR085725
AGTPBP1,531,127,254,432,276,509
AGTR1,2,1,1,3,1,3
AGTR2,0,0,0,0,0,5
AGTRAP,78,85,97,97,67,57
AGXT,0,0,0,0,0,0
AGXT2,0,0,0,0,0,1
AHCTF1,87,22,111,75,105,127
AHCTF1P1,27,2,15,12,14,35
AHCY,532,160,428,473,336,408
AHCYL1,1763,625,892,1830,722,1978
AHCYL2,717,182,366,601,284,514
AHDC1,810,216,682,630,580,865
AHI1,275,132,209,248,209,360
AHI1-DT,4,3,2,3,0,1
AHNAK,1436,1255,1151,1387,641,1648
AHNAK2,483,40,226,398,207,497
AHR,131,14,59,114,62,113
AHRR,0,0,1,0,0,0
AHSA1,645,235,1024,593,862,571
AHSA2P,318,214,624,289,556,291
AHSG,1,2,0,4,2,2
AHSP,0,1,0,2,0,0
AICDA,0,0,0,0,1,0
AIDA,15,4,16,21,21,24
AIF1,0,0,0,0,0,0
AIF1L,1234,1233,981,1197,737,937
AIF1_1,0,0,0,0,0,0
AIF1_2,0,0,0,0,0,0
AIF1_3,0,0,0,0,0,0
AIF1_4,0,0,0,0,0,0
AIF1_5,0,0,0,0,0,0
AIFM1,190,61,133,171,143,138
AIFM2,75,71,97,120,96,94
AIFM3,545,435,411,616,329,477
AIG1,441,83,279,428,275,356
AIM2,1,1,5,1,6,3
AIMP1,127,66,143,139,154,182
AIMP2,67,12,57,80,31,37
AIP,443,268,585,451,448,407
AIPL1,0,0,1,0,1,1
AIRE,5,10,15,9,11,12
AIRIM,148,16,64,110,56,104
AIRN,11,3,5,6,5,1
AJAP1,922,121,534,705,485,455
AJM1,581,370,837,560,631,633
AJUBA,8,17,7,12,7,21
AJUBA-DT,1,0,0,5,2,0
AK1,10,7,2,10,2,4
AK2,243,126,268,267,213,259
AK3,254,97,233,355,231,322
AK4,389,191,334,416,254,363
AK5,1825,292,1398,1815,1314,1274
AK6,0,0,0,0,0,0
AK6_1,0,0,0,0,0,0
AK6_2,0,0,0,0,0,0
AK7,25,5,7,26,16,19
AK8,26,6,11,27,13,14
AK9,76,39,48,57,61,87
AKAIN1,17,0,5,17,5,119
AKAP1,545,165,351,521,299,546
AKAP1-DT,6,4,0,5,3,4
AKAP10,283,41,216,305,193,290
AKAP11,1641,136,595,1247,554,1945
AKAP12,1407,360,1001,1119,1005,2298
AKAP13,475,149,367,473,348,326
AKAP14,1,0,3,2,1,3
AKAP17A,0,0,0,0,0,0
AKAP17A_1,0,0,0,0,0,0
AKAP17BP,2,3,0,0,0,2
AKAP3,31,6,12,20,8,13
AKAP4,0,0,0,0,0,0
AKAP5,419,14,144,350,151,237
AKAP6,1655,164,889,1313,904,1583
AKAP7,161,30,87,159,77,126
AKAP8,220,111,249,213,232,252
AKAP8L,435,357,634,401,593,579
AKAP9,397,143,298,283,360,608
AKIP1,124,37,112,90,66,62
AKIRIN1,405,58,242,424,213,291
AKIRIN2,382,54,275,392,264,316
AKNA,252,101,207,204,171,151
AKNAD1,3,6,2,2,3,1
AKR1A1,312,111,215,314,191,280
AKR1B1,345,131,263,373,234,319
AKR1B10,0,0,0,1,0,0
AKR1B15,0,1,0,0,0,0
AKR1C1,29,10,27,20,34,22
AKR1C2,18,8,16,22,22,20
AKR1C3,50,43,68,64,63,39
AKR1C4,0,1,0,0,0,0
AKR1C6P,0,0,0,0,0,0
AKR1C8,0,0,0,0,0,0
AKR1D1,0,0,0,0,0,0
AKR1E2,15,5,6,8,17,7
AKR7A2,224,77,146,227,105,176
AKR7A2P1,0,0,0,0,0,0
AKR7A2P1_1,0,0,0,0,0,0
AKR7A3,11,7,10,17,6,4
AKR7L,9,12,15,7,19,12
AKT1,808,416,631,778,486,701
AKT1S1,318,224,394,308,306,247
AKT2,598,532,790,573,567,775
AKT3,0,0,0,0,0,0
AKT3-IT1,0,0,0,0,0,0
AKT3-IT1_1,0,0,0,0,0,0
AKT3_1,0,0,0,0,0,0
AKTIP,172,60,154,202,157,157
ALAD,892,388,734,757,500,694
ALAS1,465,43,281,451,248,494
ALAS2,2,5,0,0,1,3
ALB,10,3,2,11,4,4
ALCAM,837,135,490,732,383,666
ALDH16A1,118,94,147,108,119,99
ALDH18A1,249,54,159,195,166,226
ALDH1A1,278,50,99,359,114,570
